date,open,high,low,close,volume
2024-12-12,7950.0,8050.0,7900.0,8000.0,5831100
2024-12-13,8000.0,8050.0,7775.0,7775.0,7944500
2024-12-16,7800.0,7825.0,7600.0,7750.0,7334400
2024-12-17,7725.0,7900.0,7525.0,7675.0,10244000
2024-12-18,7675.0,7975.0,7600.0,7600.0,11824800
2024-12-19,7675.0,7675.0,7300.0,7325.0,10269100
2024-12-20,7325.0,7400.0,7200.0,7300.0,10756400
2024-12-23,7325.0,7525.0,7325.0,7400.0,7254600
2024-12-24,7425.0,7500.0,7300.0,7300.0,3686400
2024-12-27,7375.0,7500.0,7300.0,7300.0,3367400
2024-12-30,7350.0,7675.0,7200.0,7500.0,13093900
2025-01-02,7475.0,7600.0,7375.0,7500.0,6072100
2025-01-03,7525.0,7675.0,7175.0,7175.0,9967800
2025-01-06,7200.0,7250.0,6800.0,6850.0,8556300
2025-01-07,6850.0,6975.0,6700.0,6850.0,8068900
2025-01-08,6825.0,6850.0,6600.0,6675.0,8476800
2025-01-09,6700.0,7300.0,6650.0,6875.0,16272200
2025-01-10,6925.0,7100.0,6800.0,6800.0,10917800
2025-01-13,6875.0,7175.0,6825.0,6975.0,12948600
2025-01-14,7025.0,7050.0,6750.0,6750.0,7715400
2025-01-15,6800.0,6900.0,6675.0,6675.0,7408100
2025-01-16,6750.0,6875.0,6650.0,6750.0,7582600
2025-01-17,6800.0,6850.0,6675.0,6750.0,4811800
2025-01-20,6775.0,6900.0,6750.0,6875.0,6077500
2025-01-21,6875.0,7025.0,6750.0,6750.0,8268200
2025-01-22,6825.0,7000.0,6825.0,6975.0,7295800
2025-01-23,7025.0,7375.0,6975.0,7050.0,21158700
2025-01-24,7125.0,7450.0,7025.0,7025.0,16984400
2025-01-30,7025.0,7175.0,6700.0,7000.0,14097000
2025-01-31,7025.0,7650.0,6950.0,7100.0,41565100
2025-02-03,7175.0,7500.0,6875.0,7500.0,33855000
2025-02-04,7475.0,8650.0,7425.0,8550.0,46858100
2025-02-05,8550.0,9000.0,8450.0,8625.0,37173700
2025-02-06,8675.0,8675.0,8100.0,8100.0,31484400
2025-02-07,7650.0,7650.0,6500.0,6525.0,63322200
2025-02-10,6500.0,7000.0,6350.0,7000.0,32587200
2025-02-11,7075.0,7225.0,6650.0,6650.0,18741000
2025-02-12,6750.0,7400.0,6725.0,7400.0,20437500
2025-02-13,7500.0,7500.0,7050.0,7075.0,18619100
2025-02-14,7100.0,7200.0,6950.0,6975.0,13145800
2025-02-17,7025.0,7525.0,7000.0,7525.0,22785600
2025-02-18,7650.0,7675.0,7300.0,7325.0,16960100
2025-02-19,7350.0,8000.0,7325.0,8000.0,24179800
2025-02-20,8000.0,8100.0,7775.0,7800.0,16601200
2025-02-21,7800.0,8050.0,7700.0,8025.0,14175800
2025-02-24,8025.0,8175.0,7500.0,8050.0,15731800
2025-02-25,8100.0,8125.0,7525.0,7975.0,15727500
2025-02-26,8000.0,8125.0,7750.0,7800.0,13003500
2025-02-27,7775.0,7850.0,7500.0,7550.0,9511400
2025-02-28,7475.0,7600.0,6550.0,6700.0,29776800
2025-03-03,6850.0,7600.0,6825.0,7450.0,25827400
2025-03-04,7450.0,7450.0,6750.0,6850.0,29557200
2025-03-05,6950.0,7150.0,6875.0,7075.0,21079000
2025-03-06,7050.0,7325.0,7050.0,7100.0,19093700
2025-03-07,7150.0,7400.0,7000.0,7300.0,18259500
2025-03-10,7300.0,7350.0,7100.0,7175.0,7847300
2025-03-11,7000.0,7125.0,6875.0,6875.0,14448500
2025-03-12,6900.0,7000.0,6850.0,6950.0,5251800
2025-03-13,6950.0,7000.0,6850.0,7000.0,3403600
2025-03-14,6950.0,6975.0,6750.0,6750.0,4270000
2025-03-17,6825.0,6900.0,6600.0,6650.0,5110800
2025-03-18,6650.0,6700.0,5325.0,5425.0,58255100
2025-03-19,5600.0,6375.0,5275.0,6125.0,33802300
2025-03-20,6300.0,7175.0,6250.0,7050.0,39252800
2025-03-21,7200.0,7750.0,7050.0,7250.0,67471400
2025-03-24,7400.0,7475.0,6500.0,7075.0,42559100
2025-03-25,7125.0,7150.0,6750.0,6775.0,11689300
2025-03-26,6825.0,7250.0,6800.0,7125.0,14465300
2025-03-27,7100.0,7200.0,6975.0,7200.0,10278700
2025-04-08,6750.0,7200.0,6275.0,7200.0,23952700
2025-04-09,7250.0,7375.0,6600.0,6725.0,18102100
2025-04-10,7125.0,7350.0,6800.0,6800.0,27840100
2025-04-11,6750.0,7125.0,6625.0,6975.0,14884500
2025-04-14,6950.0,7125.0,6875.0,7000.0,12653300
2025-04-15,7000.0,7350.0,6925.0,7350.0,26280800
2025-04-16,7500.0,7950.0,7325.0,7500.0,42115700
2025-04-17,7475.0,7575.0,7325.0,7550.0,13292200
2025-04-21,7550.0,7750.0,7475.0,7650.0,12260800
2025-04-22,7575.0,7850.0,7525.0,7750.0,13274200
2025-04-23,7825.0,7975.0,7775.0,7975.0,12951100
2025-04-24,8050.0,8050.0,7625.0,7700.0,12111800
2025-04-25,7750.0,7800.0,7625.0,7800.0,4797400
2025-04-28,7800.0,8000.0,7725.0,7800.0,11453200
2025-04-29,7875.0,7900.0,7675.0,7675.0,8151600
2025-04-30,7725.0,7925.0,7725.0,7875.0,11141800
2025-05-02,8000.0,8675.0,7925.0,8650.0,34799100
2025-05-05,8750.0,8900.0,8625.0,8650.0,17479500
2025-05-06,8675.0,8775.0,8525.0,8700.0,10144800
2025-05-07,8725.0,9350.0,8675.0,9025.0,30909800
2025-05-08,9050.0,9175.0,8775.0,8875.0,25820100
2025-05-09,8875.0,9000.0,8400.0,8525.0,20626700
2025-05-14,8675.0,9225.0,8675.0,9050.0,28523700
2025-05-15,9125.0,9300.0,9025.0,9025.0,17699400
2025-05-16,9125.0,9275.0,9100.0,9225.0,17403600
2025-05-19,9300.0,9475.0,9100.0,9150.0,16400900
2025-05-20,9250.0,9825.0,9200.0,9575.0,30405400
2025-05-21,9675.0,9725.0,9500.0,9500.0,11217900
2025-05-22,9575.0,9700.0,9525.0,9525.0,7528600
2025-05-23,9875.0,10600.0,9850.0,10550.0,22425600
2025-05-26,10600.0,10675.0,9700.0,9750.0,35058700
2025-05-27,9850.0,9925.0,9700.0,9800.0,19272200
2025-05-28,9875.0,9900.0,9325.0,9325.0,76677600
2025-06-02,9500.0,9650.0,9100.0,9300.0,27252900
2025-06-03,9350.0,9450.0,9125.0,9125.0,13054800
2025-06-04,9200.0,9325.0,9125.0,9225.0,12062700
2025-06-05,9300.0,9675.0,9300.0,9575.0,21034600
2025-06-10,9675.0,10600.0,9650.0,10525.0,43086000
2025-06-11,10600.0,10625.0,9900.0,10250.0,33874100
2025-06-12,10100.0,10425.0,9850.0,9900.0,19498200
2025-06-13,9750.0,10050.0,9650.0,10000.0,13772700
2025-06-16,10000.0,10050.0,9675.0,9900.0,13182600
2025-06-17,10200.0,10650.0,10050.0,10225.0,32878700
2025-06-18,10250.0,10350.0,10225.0,10325.0,9162200
2025-06-19,10475.0,10600.0,9700.0,9775.0,25943400
2025-06-20,9800.0,9900.0,9600.0,9650.0,17282300
2025-06-23,9525.0,9650.0,9125.0,9375.0,18990900
2025-06-24,9600.0,9900.0,9525.0,9750.0,14177300
2025-06-25,9800.0,9850.0,9275.0,9500.0,13719200
2025-06-26,9525.0,9675.0,9400.0,9675.0,8360500
2025-06-30,9675.0,10000.0,9625.0,9875.0,12720800
2025-07-01,9925.0,10025.0,9850.0,10000.0,9057200
2025-07-02,10025.0,10200.0,9900.0,10100.0,11842100
2025-07-03,10150.0,10150.0,9950.0,9975.0,5693900
2025-07-04,10025.0,10025.0,9800.0,9800.0,4563200
2025-07-07,9850.0,9875.0,9575.0,9775.0,10632000
2025-07-08,9800.0,10275.0,9800.0,10175.0,20166100
2025-07-09,10250.0,10275.0,9900.0,10050.0,16828000
2025-07-10,10050.0,10050.0,9900.0,9900.0,11841300
2025-07-11,9950.0,10000.0,9800.0,9800.0,10047200
2025-07-14,9975.0,10500.0,9825.0,10025.0,56376000
2025-07-15,10025.0,10050.0,9750.0,9750.0,19978500
2025-07-16,9800.0,9850.0,9550.0,9575.0,11730000
2025-07-17,9600.0,9750.0,9550.0,9675.0,12986600
2025-07-18,9700.0,9775.0,9400.0,9400.0,14513400
2025-07-21,9500.0,9525.0,9300.0,9325.0,9437700
2025-07-22,9350.0,9425.0,8750.0,8825.0,19920700
2025-07-23,8825.0,9050.0,8750.0,9050.0,16296700
2025-07-24,9050.0,9100.0,8950.0,9100.0,5661800
2025-07-25,9075.0,9225.0,8975.0,9225.0,5980100
2025-07-28,9225.0,9425.0,9225.0,9425.0,9868300
2025-07-29,9475.0,9475.0,9275.0,9400.0,6497200
2025-07-30,9400.0,9400.0,9275.0,9275.0,4234600
2025-07-31,9300.0,9350.0,9225.0,9275.0,6161700
2025-08-01,9400.0,10000.0,9400.0,9600.0,23611000
2025-08-04,9600.0,9625.0,9175.0,9200.0,10002400
2025-08-05,9275.0,9300.0,9025.0,9050.0,5006100
2025-08-06,9075.0,9175.0,9000.0,9000.0,4460900
2025-08-07,9075.0,9150.0,8950.0,9025.0,6023600
2025-08-08,9200.0,9250.0,8825.0,8825.0,8951700
2025-08-11,8900.0,8925.0,8775.0,8800.0,5058100
2025-08-12,8850.0,8975.0,8800.0,8950.0,3597900
2025-08-13,8975.0,9125.0,8975.0,9125.0,5838500
2025-08-14,9125.0,9200.0,9075.0,9200.0,6203400
2025-08-15,9475.0,9475.0,9125.0,9200.0,5990900
2025-08-19,9400.0,9400.0,8950.0,8950.0,7789800
2025-08-20,9175.0,9175.0,8825.0,8900.0,7552100
2025-08-21,9075.0,9075.0,8775.0,8850.0,8649600
2025-08-22,8825.0,8875.0,8750.0,8775.0,3876700
2025-08-25,8800.0,8825.0,8700.0,8750.0,4378000
2025-08-26,8750.0,8775.0,8500.0,8750.0,19478700
2025-08-27,8750.0,8800.0,8625.0,8625.0,6205800
2025-08-28,8700.0,8700.0,8450.0,8450.0,5579200
2025-08-29,8450.0,8450.0,8250.0,8250.0,8033400
2025-09-01,8075.0,8225.0,8000.0,8200.0,5859600
2025-09-02,8200.0,8275.0,8050.0,8075.0,6674600
2025-09-03,8075.0,8175.0,8000.0,8175.0,6490300
2025-09-04,8150.0,8175.0,8075.0,8125.0,3507500
2025-09-08,8175.0,8325.0,8000.0,8000.0,6462700
2025-09-09,7900.0,7950.0,7575.0,7575.0,8313100
2025-09-10,7650.0,7650.0,7500.0,7575.0,7249600
2025-09-11,7625.0,7875.0,7600.0,7800.0,8323100
2025-09-12,7850.0,8050.0,7800.0,7900.0,7539100
2025-09-15,7900.0,8050.0,7900.0,7950.0,8005600
2025-09-16,7975.0,8025.0,7900.0,8025.0,5402800
2025-09-17,8000.0,8200.0,7950.0,8125.0,8053700
2025-09-18,8175.0,8300.0,8000.0,8000.0,11263200
2025-09-19,8025.0,8300.0,7800.0,8000.0,18100400
2025-09-22,8050.0,8075.0,7800.0,7875.0,7119400
2025-09-23,7925.0,7950.0,7800.0,7900.0,7707300
2025-09-24,7900.0,7975.0,7775.0,7875.0,8569200
2025-09-25,7875.0,7900.0,7725.0,7725.0,4998500
2025-09-26,7725.0,7775.0,7650.0,7650.0,4792200
2025-09-29,7650.0,8125.0,7625.0,7800.0,12921300
2025-09-30,7825.0,7850.0,7600.0,7725.0,13289100
2025-10-01,7800.0,8050.0,7650.0,7675.0,17775200
2025-10-02,7700.0,7725.0,7575.0,7575.0,8012000
2025-10-03,7625.0,7650.0,7500.0,7575.0,7137500
2025-10-06,7625.0,8000.0,7625.0,7850.0,27973400
2025-10-07,7925.0,8000.0,7700.0,7700.0,24632000
2025-10-08,7775.0,7825.0,7575.0,7700.0,10712700
2025-10-09,7775.0,7875.0,7625.0,7725.0,10488400
2025-10-10,7775.0,8500.0,7675.0,8100.0,43532400
2025-10-13,8000.0,8350.0,7925.0,8050.0,24743900
2025-10-14,8100.0,8125.0,7250.0,7475.0,25378700
2025-10-15,7550.0,7600.0,7175.0,7175.0,17044400
2025-10-16,7200.0,7275.0,7150.0,7150.0,8230000
2025-10-17,7150.0,7200.0,6825.0,6925.0,10986500
2025-10-20,7000.0,7125.0,6950.0,7025.0,6296500
2025-10-21,7050.0,7175.0,7050.0,7175.0,5941900
2025-10-22,7175.0,7200.0,7025.0,7075.0,6510300
2025-10-23,7100.0,7175.0,7075.0,7150.0,3322300
2025-10-24,7150.0,7650.0,7150.0,7275.0,20083400
2025-10-27,7350.0,7650.0,7075.0,7400.0,25760900
2025-10-28,7450.0,7475.0,7075.0,7150.0,13533000
2025-10-29,7175.0,7200.0,7050.0,7050.0,6719100
2025-10-30,7100.0,7125.0,7025.0,7050.0,4353500
2025-10-31,7100.0,7150.0,6950.0,6950.0,8316000
2025-11-03,7025.0,7175.0,7000.0,7150.0,7776600
2025-11-04,7200.0,7250.0,7000.0,7000.0,8309100
2025-11-05,7000.0,7050.0,6950.0,7025.0,4810900
2025-11-06,7050.0,7175.0,7025.0,7050.0,6473900
2025-11-07,7125.0,7150.0,7000.0,7050.0,6587300
2025-11-10,7075.0,7150.0,7000.0,7025.0,11020500
2025-11-11,7050.0,7075.0,6950.0,7050.0,8503500
2025-11-12,7100.0,7300.0,7025.0,7025.0,15306500
2025-11-13,7100.0,7100.0,7000.0,7000.0,7793400
2025-11-14,7000.0,7050.0,6950.0,7000.0,5238200
2025-11-17,7050.0,7150.0,7025.0,7100.0,6656600
2025-11-18,7150.0,7650.0,7150.0,7500.0,40024000
2025-11-19,7600.0,7650.0,7200.0,7200.0,15766900
2025-11-20,7225.0,7300.0,7200.0,7200.0,5701600
2025-11-21,7150.0,7275.0,7100.0,7275.0,5916400
2025-11-24,7250.0,7300.0,7150.0,7150.0,37888100
2025-11-25,7150.0,7200.0,7025.0,7175.0,9998400
2025-11-26,7175.0,7225.0,7025.0,7175.0,10598900
2025-11-27,7200.0,7450.0,7175.0,7375.0,16226300
2025-11-28,7375.0,7550.0,7300.0,7400.0,12437400
2025-12-01,7500.0,7550.0,7350.0,7400.0,8605600
2025-12-02,7400.0,7875.0,7400.0,7775.0,26351200
2025-12-03,7825.0,7875.0,7600.0,7800.0,17604400
2025-12-04,7825.0,7825.0,7625.0,7625.0,9115100
2025-12-05,7625.0,7750.0,7450.0,7600.0,10056100
2025-12-08,7600.0,7650.0,7400.0,7400.0,9158500
2025-12-09,7400.0,7425.0,7175.0,7175.0,14326900
2025-12-10,7225.0,7250.0,7050.0,7050.0,11608900
2025-12-11,7100.0,7175.0,7050.0,7175.0,7732000
2025-12-12,7225.0,7225.0,7050.0,7050.0,6764900
2025-12-15,7050.0,7250.0,7050.0,7050.0,8395000
2025-12-16,7150.0,7175.0,7075.0,7175.0,5749000
2025-12-17,7175.0,7200.0,7050.0,7050.0,4200800
2025-12-18,7050.0,7125.0,7000.0,7000.0,5669000
2025-12-19,7025.0,7175.0,7000.0,7175.0,12160500
2025-12-22,7150.0,7175.0,7050.0,7050.0,3809900
2025-12-23,7075.0,7100.0,7000.0,7000.0,3351200
2025-12-24,7000.0,7075.0,7000.0,7000.0,2719800
2025-12-29,7025.0,7075.0,7000.0,7025.0,2571800
2025-12-30,7050.0,7075.0,7000.0,7000.0,4059600
2026-01-02,7100.0,7150.0,7000.0,7125.0,5625500
2026-01-05,7125.0,7125.0,7000.0,7125.0,6612300
2026-01-06,7100.0,7100.0,7025.0,7050.0,6019300
2026-01-07,7050.0,7075.0,6825.0,6850.0,14328700
2026-01-08,6875.0,6950.0,6775.0,6775.0,8091400
2026-01-09,6825.0,6850.0,6700.0,6725.0,7277000
2026-01-12,6725.0,6725.0,6450.0,6500.0,12090700
2026-01-13,6500.0,6700.0,6325.0,6700.0,10064900
2026-01-14,6600.0,6725.0,6575.0,6575.0,7729600
2026-01-15,6550.0,6750.0,6550.0,6675.0,6835800
2026-01-19,6650.0,7000.0,6650.0,7000.0,12336500
2026-01-20,7000.0,7000.0,6875.0,7000.0,5409700
2026-01-21,7000.0,7000.0,6850.0,7000.0,6237200
2026-01-22,7000.0,7050.0,6825.0,6825.0,7481000
2026-01-23,6850.0,6875.0,6650.0,6650.0,6038600
2026-01-26,6725.0,6800.0,6550.0,6800.0,5886800
2026-01-27,6750.0,7000.0,6650.0,7000.0,6585400
2026-01-28,6700.0,6825.0,6075.0,6600.0,14906300
2026-01-29,6350.0,6500.0,5650.0,6300.0,21595600
2026-01-30,6300.0,6450.0,6200.0,6450.0,10070200
2026-02-02,6450.0,6450.0,5600.0,5900.0,8051700
2026-02-03,5775.0,6600.0,5300.0,6525.0,21784200
2026-02-04,6425.0,7025.0,6425.0,6850.0,17508300
2026-02-05,6900.0,7250.0,6850.0,7250.0,17570700
2026-02-06,7200.0,7200.0,6925.0,7100.0,11713600
2026-02-09,7125.0,7200.0,7000.0,7100.0,4907200
2026-02-10,7100.0,7250.0,7075.0,7200.0,6770000
2026-02-11,7200.0,7375.0,7150.0,7325.0,12774400
2026-02-12,7375.0,7400.0,7225.0,7225.0,5596500
2026-02-13,7225.0,7225.0,6950.0,7075.0,11842800
2026-02-18,7075.0,7150.0,6850.0,6900.0,10508100
2026-02-19,6975.0,6975.0,6775.0,6775.0,7132000
2026-02-20,6775.0,6800.0,6650.0,6725.0,5921800
2026-02-23,6800.0,7250.0,6775.0,7150.0,12243300
2026-02-24,7200.0,7275.0,7000.0,7200.0,9446100
2026-02-25,7150.0,7200.0,6925.0,6925.0,5659000
2026-02-26,6975.0,7100.0,6875.0,6950.0,7646400
2026-02-27,6900.0,6950.0,6700.0,6700.0,19104200
2026-03-02,6525.0,6525.0,5975.0,5975.0,13373700
2026-03-03,6050.0,6125.0,5825.0,5825.0,10687500
2026-03-04,5550.0,5725.0,5175.0,5350.0,21333300
2026-03-05,5475.0,5525.0,5300.0,5375.0,15335400
2026-03-06,5400.0,6325.0,5275.0,6325.0,20493600
2026-03-09,6150.0,6450.0,5575.0,6000.0,22748700
2026-03-10,6250.0,6300.0,5750.0,5750.0,9105100
2026-03-11,5825.0,5900.0,5700.0,5700.0,4012200
2026-03-12,5775.0,5975.0,5700.0,5750.0,7533600
2026-03-13,5750.0,5800.0,5450.0,5450.0,7326100
2026-03-16,5425.0,5425.0,5050.0,5150.0,11270400
2026-03-17,5150.0,5425.0,5025.0,5125.0,11349900
2026-03-25,5075.0,5300.0,5025.0,5250.0,13629500
2026-03-26,5250.0,5250.0,5050.0,5075.0,1962600
